"variable","regionnumber","year","value"
"JOBSI0R","9","2025",64178.23
"JOBSI0R","10","2025",61814.55
"JOBSI0R","11","2025",156466.4
"JOBSI0R","12","2025",115960
"JOBSI0R","13","2025",35516.32
"JOBSI0R","14","2025",9462.152
"JOBSI0R","1","2026",39688.77
"JOBSI0R","2","2026",389313.6
"JOBSI0R","3","2026",2288907
"JOBSI0R","4","2026",448038.4
"JOBSI0R","5","2026",23202.16
"JOBSI0R","6","2026",20373.33
"JOBSI0R","7","2026",81464.81
"JOBSI0R","8","2026",24437.58
"JOBSI0R","9","2026",65284.13
"JOBSI0R","10","2026",62915.34
"JOBSI0R","11","2026",159024.2
"JOBSI0R","12","2026",117773.3
"JOBSI0R","13","2026",35795.84
"JOBSI0R","14","2026",9489.271
"JOBSI0R","1","2027",39952.37
"JOBSI0R","2","2027",396707.4
"JOBSI0R","3","2027",2319777
"JOBSI0R","4","2027",455254.4
"JOBSI0R","5","2027",23788.07
"JOBSI0R","6","2027",20422.65
"JOBSI0R","7","2027",82299.53
"JOBSI0R","8","2027",24534.59
"JOBSI0R","9","2027",66338.48
"JOBSI0R","10","2027",63961.11
"JOBSI0R","11","2027",161558.9
"JOBSI0R","12","2027",119523.4
"JOBSI0R","13","2027",36049.21
"JOBSI0R","14","2027",9518.761
"JOBSI0R","1","2028",40205.48
"JOBSI0R","2","2028",403855.8
"JOBSI0R","3","2028",2349575
"JOBSI0R","4","2028",462144.7
"JOBSI0R","5","2028",24340.73
"JOBSI0R","6","2028",20463.76
"JOBSI0R","7","2028",83092.61
"JOBSI0R","8","2028",24601.73
"JOBSI0R","9","2028",67302.19
"JOBSI0R","10","2028",64935.39
"JOBSI0R","11","2028",163930.5
"JOBSI0R","12","2028",121228.8
"JOBSI0R","13","2028",36287.7
"JOBSI0R","14","2028",9537.273
"JOBSI0R","1","2029",40441.99
"JOBSI0R","2","2029",410908.3
"JOBSI0R","3","2029",2379061
"JOBSI0R","4","2029",468874.6
"JOBSI0R","5","2029",24823.51
"JOBSI0R","6","2029",20487.68
"JOBSI0R","7","2029",83836.12
"JOBSI0R","8","2029",24676.15
"JOBSI0R","9","2029",68224.98
"JOBSI0R","10","2029",65859.36
"JOBSI0R","11","2029",166275
"JOBSI0R","12","2029",122966.5
"JOBSI0R","13","2029",36480.89
"JOBSI0R","14","2029",9543.765
"JOBSI0R","1","2030",40668.9
"JOBSI0R","2","2030",417928.9
"JOBSI0R","3","2030",2408032
"JOBSI0R","4","2030",475400.3
"JOBSI0R","5","2030",25275.65
"JOBSI0R","6","2030",20503.25
"JOBSI0R","7","2030",84557.95
"JOBSI0R","8","2030",24765.08
"JOBSI0R","9","2030",69107.72
"JOBSI0R","10","2030",66770.98
"JOBSI0R","11","2030",168564.1
"JOBSI0R","12","2030",124715
"JOBSI0R","13","2030",36660.29
"JOBSI0R","14","2030",9536.055
"JOBSI0R","1","2031",40917.17
"JOBSI0R","2","2031",425018
"JOBSI0R","3","2031",2436365
"JOBSI0R","4","2031",481719.9
"JOBSI0R","5","2031",25713.4
"JOBSI0R","6","2031",20501.98
"JOBSI0R","7","2031",85327.13
"JOBSI0R","8","2031",24840.08
"JOBSI0R","9","2031",69989.11
"JOBSI0R","10","2031",67709.95
"JOBSI0R","11","2031",170878
"JOBSI0R","12","2031",126535.7
"JOBSI0R","13","2031",36824.44
"JOBSI0R","14","2031",9526.995
"JOBSI0R","1","2032",41171.44
"JOBSI0R","2","2032",432229.7
"JOBSI0R","3","2032",2464158
"JOBSI0R","4","2032",487722.7
"JOBSI0R","5","2032",26107.62
"JOBSI0R","6","2032",20493.26
"JOBSI0R","7","2032",86061.88
"JOBSI0R","8","2032",24913.83
"JOBSI0R","9","2032",70845.67
"JOBSI0R","10","2032",68625.65
"JOBSI0R","11","2032",173132.8
"JOBSI0R","12","2032",128298
"JOBSI0R","13","2032",36981.83
"JOBSI0R","14","2032",9514.629
"JOBSI0R","1","2033",41448.04
"JOBSI0R","2","2033",439240.7
"JOBSI0R","3","2033",2491765
"JOBSI0R","4","2033",493325.9
"JOBSI0R","5","2033",26470.25
"JOBSI0R","6","2033",20462.43
"JOBSI0R","7","2033",86721.37
"JOBSI0R","8","2033",24977.21
"JOBSI0R","9","2033",71674.75
"JOBSI0R","10","2033",69479.52
"JOBSI0R","11","2033",175336.2
"JOBSI0R","12","2033",129900.3
"JOBSI0R","13","2033",37127.64
"JOBSI0R","14","2033",9506.699
"JOBSI0R","1","2034",41720.67
"JOBSI0R","2","2034",446377.2
"JOBSI0R","3","2034",2519634
"JOBSI0R","4","2034",498692.2
"JOBSI0R","5","2034",26810.69
"JOBSI0R","6","2034",20433.63
"JOBSI0R","7","2034",87357.62
"JOBSI0R","8","2034",25029.31
"JOBSI0R","9","2034",72476.04
"JOBSI0R","10","2034",70274.61
"JOBSI0R","11","2034",177529.2
"JOBSI0R","12","2034",131426.3
"JOBSI0R","13","2034",37235.84
"JOBSI0R","14","2034",9502.675
"JOBSI0R","1","2035",41948.36
"JOBSI0R","2","2035",453619.8
"JOBSI0R","3","2035",2547941
"JOBSI0R","4","2035",503702.4
"JOBSI0R","5","2035",27130.65
"JOBSI0R","6","2035",20415.06
"JOBSI0R","7","2035",87951.83
"JOBSI0R","8","2035",25063.82
"JOBSI0R","9","2035",73262.06
"JOBSI0R","10","2035",71052.38
"JOBSI0R","11","2035",179717.1
"JOBSI0R","12","2035",132919.6
"JOBSI0R","13","2035",37343.25
"JOBSI0R","14","2035",9491.348
"JOBSI0R","1","2036",42183.53
"JOBSI0R","2","2036",461266.2
"JOBSI0R","3","2036",2576086
"JOBSI0R","4","2036",508576.6
"JOBSI0R","5","2036",27412.29
"JOBSI0R","6","2036",20393.45
"JOBSI0R","7","2036",88574.25
"JOBSI0R","8","2036",25102.73
"JOBSI0R","9","2036",74063.21
"JOBSI0R","10","2036",71842.59
"JOBSI0R","11","2036",181960.6
"JOBSI0R","12","2036",134519.8
"JOBSI0R","13","2036",37497.91
"JOBSI0R","14","2036",9476.528
"JOBSI0R","1","2037",42400.47
"JOBSI0R","2","2037",469095.8
"JOBSI0R","3","2037",2603657
"JOBSI0R","4","2037",513239.1
"JOBSI0R","5","2037",27684.4
"JOBSI0R","6","2037",20363.71
"JOBSI0R","7","2037",89205.31
"JOBSI0R","8","2037",25165.59
"JOBSI0R","9","2037",74884.6
"JOBSI0R","10","2037",72670.1
"JOBSI0R","11","2037",184286.3
"JOBSI0R","12","2037",136230.5
"JOBSI0R","13","2037",37672.92
"JOBSI0R","14","2037",9457.835
"JOBSI0R","1","2038",42647.67
"JOBSI0R","2","2038",477257.6
"JOBSI0R","3","2038",2631031
"JOBSI0R","4","2038",517891.8
"JOBSI0R","5","2038",27952.97
"JOBSI0R","6","2038",20333.16
"JOBSI0R","7","2038",89846.06
"JOBSI0R","8","2038",25222.87
"JOBSI0R","9","2038",75739.74
"JOBSI0R","10","2038",73512.73
"JOBSI0R","11","2038",186646.3
"JOBSI0R","12","2038",137992.7
"JOBSI0R","13","2038",37885.29
"JOBSI0R","14","2038",9446.169
"JOBSI0R","1","2039",42905.33
